,declara,fin_declara,dato,opdec,numerico,cadena,",",id,[,num,],comienza,termina,funciones,fin_funciones,;,funcion,(,),fin_funcion,mientras,fin_mientras,si,entonces,otro_caso,fin_si,repite,hasta,lee,asig,escribe,escribe_ret,o,y,no,=,dif,mai,mei,>,<,+,-,*,/,div,mod,abs,cad,fin,PROGP,PROG,SDAT,LDATOS,DEC,TIPO,LV,VAR,PPAL,SFUN,LFUN,BLQ,FUN,PRM,INST,W,IF,REP,LEE,VARL,ASIG,VASIG,ESC,K,L,N,E,T,F,NFUN,ARGS
88, , , , , , , ,s64, ,s65, , , , , , , ,s62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , , , , ,g118,g60,g61,g67, 
89, , , , , , , ,s64, ,s65, , , , , , , ,s62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , , , , ,g119,g60,g61,g67, 
90, , , , , , , ,s64, ,s65, , , , , , , ,s62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,g120,g61,g67, 
91, , , , , , , ,s64, ,s65, , , , , , , ,s62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,g121,g61,g67, 
92, , , , , , , ,s64, ,s65, , , , , , , ,s62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,g122,g67, 
93, , , , , , , ,s64, ,s65, , , , , , , ,s62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,g123,g67, 
94, , , , , , , ,s64, ,s65, , , , , , , ,s62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,g124,g67, 
95, , , , , , , ,s64, ,s65, , , , , , , ,s62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,g125,g67, 
96, , , , , , , , , , , , , , , , , , ,s126, , , , , , , , , , , , , ,s81,s82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
97, , , , , , , ,s64, ,s65, , , , , , , ,s62, , , , , , , , , , , , , , , , ,s56, , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , ,g127,g57,g58,g59,g60,g61,g67, 
